date,trend,HL1,HL2,HL3,HL4,HL5,HL6,HL7,HL8,HL9,HL10,HL11,HL12,HL13,HL14,HL15,HL16,HL17,HL18,HL19,HL20
11/29/2016,1,Bill O'Reilly: NFL Must Stop Kaepernick Protest 'For His Own Safety',Massive Rally Begins Honoring Fidel Castro,Palestinians Re-Elect Abbas to New Term as Fatah Party Leader,Report: Congress Drops Plan to Make Women Register for Military Draft,"Ohio State Attacker May Have Self-Radicalized, Officials Say",Two US Officials to Attend Fidel Castro's Funeral,Dan Rather Praises AP's Decision to Call Alt-Right Racist,3 Killed after Wildfires Scorch Tourist Area in Tennessee,Obama: 'Fox News in Every Bar and Restaurant' Hurt Dems With Voters,Prof Injured in Suspected OSU Terror Attack Won't Judge Assailant 'Out of Respect',Zionist Org. Head to Vatican: Holy Land Tours in Palestine Must Mention Israel,"Nick Cannon Accuses Planned Parenthood of Genocide, Population Control",CNN's Chris Cuomo Calls 'Morning Joe' Hosts 'Boosters' of Trump,Action Hero Steven Seagal Now a Russian Citizen Appearing in Commercials,Martin Scorsese to Meet Pope as Movie Premieres at Vatican,Raging Wildfires in South Force Evacuations in Tennessee,"Data: Obama Admin Has Resettled 50,000 Somalis, Most Muslim",Russia Reveals Cloned War Dogs,Judge Orders New York AG Schneiderman to Turn Over Secret Climate Change Docs,Kellogg Pulls Ads From Breitbart Amid Hate-Speech Concerns
11/28/2016,0,Christopher Ruddy: The Democrats Face Catastrophe,Gitmo Prisoner al-Sharbi: Saudi Rehab Center a 'Hidden Radicalization Program',"California Towns Eye Tax on Netflix, Other Video Streaming Services","After Praising Castro, Canadian PM Trudeau Will Skip Funeral",US Military Space War? Preparations Underway for Potential Attacks,Report: Polar Ice Melt to Make Coastal Cities 'Uninhabitable' Within Century,Rep. Keith Ellison - in the Running to Head DNC - Once Proposed Creation of a 'Black State',Fillon Unites French Right as Socialist Leadership Splits,"Delta Bans Pro-Trump Passenger for Life, Gives Refunds",Texas Governor Vows to Ban Sanctuary Cities in His State,Planned Parenthood Could Face Funding Issues If GOP Repeals Obamacare,Baby Boomers' Stroke Risk Lower than Gen X's,Dems Turn Ohio State Non-Shooting Event Into Gun Control Debate,GAO Report: US Spends $1B on Public Relations Annually,Study: Journalists Under 'Unprecedented' Attack,Supreme Court Rejects Church's Appeal Over Marijuana Laws,GOP Fighting Obama on Attempts to Push Through Climate Regulations,Quinnipiac Poll: Obama's Approval Highest in 4 Years,Twitter Grants Verification to Muslim Brotherhood-Linked Website,Fox News: Slain Ohio State Attacker Was Somali Man
11/25/2016,1,Tribal Chair: Army Corps to Close Dakota Pipeline Protesters' Camp,Zika-Caused Birth Defect May Become Clear Only After Birth,Fatal Police Shootings Thus Far This Year Nearly Doubled From '15,Pentagon Identifies Northern Va. Sailor Killed in Syria,Anti-Pipeline Protesters Arrested at North Dakota Shopping Mall,Students Complained About Erratic Driving Before Bus Wreck,First Lady Kicks off Obamas' Final White House Christmas,Wash Examiner: Conflict Brewing at CNN Over Negative Trump Coverage,Sen. Lankford: US Must Address 'Unsustainable and Exploding' National Debt,Putin Gives Russian Passport to Steven Seagal,South Korea Could Impeach President; 40 From Her Own Party Support Ouster,Judge: Dylann Roof Competent to Stand Trial in South Carolina Church Shooting,NY Post: Gillibrand Already Reaching Out to Clinton Donors,Schumer Urges Nikki Haley to Support 'Loyal and Strategic' Israel,"Holiday Price War Intensifies as Wal-Mart, Target Pursue Amazon","Wall Street Finishes at Record Highs as Consumer Staples, Techs Gain","Politico: Before Trump, Bannon Promoted Palin for President",Obama Urged to Free Asylum-Seekers Before Trump Takes Office,"Florence Henderson, 'The Brady Bunch' Mom, Dies at 82","Farage Taunts PM, Predicts 'Seismic Shock' in UK if Brexit Slowed"
11/23/2016,1,S.Korean Investigators Raid Lotte and SK Offices,Trump Tower Prices Take a Nosedive,6th Child Dies Following Chattanooga Bus Crash,Wayne State University Officer Dies from Gunshot Wound,Navy: Sailors' Personal Data Stolen From Contractor's Laptop,Symone Sanders to CNN: 'We Don't Need White People Leading the Democratic Party',Poll: France's Fillon Seen Winning Conservatives' Primaries,Clinton Hits 2M Popular Vote Lead Amid Calls for Recount,Gov't Wants Phone Makers to Lock Out Most Apps for Drivers,Rep. Culberson: Policy Already in Place to Defund Sanctuary Cities,Donald Trump Jr. Spoke With Russian Supporters About Syria,Panama Condemned for Jailing Journalist on 'Baseless' Charges,Buffett Hits 17-Year-Old S&P Prediction With Bull's-Eye,Book: Terrorists to Fill US With Like-Minded Muslims,'The Apprentice' Credited for Global Fascination With Trump,Pentagon: Stopgap Spending 'Problematic' for Terror Fight,New Consolidated Cannabis Company Gets the Drop on Market-Share,Ralph Branca Dies; Pitcher Gave up 'Shot Heard 'Round The World',"Dow, S&P 500 Set Record High Closes Ahead of Holiday",Consumer Sentiment Soars to 6-month High After Trump Victory
11/22/2016,1,Stanford Study: Teenagers Easily Duped By Fake News,DHS: Tens of Thousands of Green Cards Have Vanished,Alien Plan Is Like Neanderthals Being Prepared for US Air Force,"Politico Editor Resigns After Posting Addresses of 'Nazi,' Calling For Baseball Bat Attack","De Niro Backs Off Physical Threats of Trump, Now 'Waiting, Hoping'",Facebook Working on Censorship Program For China Market,Obama White-Collar Overtime Pay Mandate Blocked by Judge,"Rancho Mirage, California: Obama Family Buys West Coast House, Report Says",American Flag Removed Entirely After College Put It at Half-Staff to Protest Trump,CNN's Baldwin Cuts Segment Short After Guest Uses N-Word,Family of Slain TX Police Det: Trump Called With Condolences,"Under Siege, Obamacare Champions Make Last-Ditch Appeal to the Under-35 Crowd","Obama Hits 1,000 Mark for Commutations Granted","Report: They Preached to Pence, But 'Hamilton' Cast Hasn't Voted in Years",John Ashcroft: Clinton Can Still Be Prosecuted Against Trump's Wishes,Trump Foundation Admits Violating 'Self-Dealing' Ban in New IRS Filing,"Top US Civilian Honor Going to 21 Artists, Athletes, Others",Study: Google Search Results Have Liberal Bias,DOJ Fines Denver Sheriff $10K for Discriminating Against Non-Citizens,Education Secretary Urges States to End Corporal Punishment
11/21/2016,0,NSA Director Rogers: WikiLeaks' Hacked Documents Did Not Affect Election,NYT: ISIS Has Used Chemical Weapons 52 Times,Clint Eastwood: PC Society Has Ruined the Word 'Hero',Trump Supporter Says He Was Kicked Out of Latin Nightclub for Not Removing MAGA Hat,"Amid Police Shootings, Suspect Arrested in Texas Officer's Death",Obamacare Risk Corridor Program Lost $5 Billion in 2015,Astrobiologist: 'Hyper-Advanced Aliens' Might Be Among Us,USS Turner: Cemetery Holds Remains of 'Missing' US Sailors?,Kellyanne Conway: Trump Will Hold Press Conference 'Soon',Hannity Denies Megyn Kelly Accusation Hosts Shared Questions With Trump Camp,Former RNC Chair Ed Gillespie Running for Virginia Governor,Puerto Rico Governor - Facing $70 Billion Debt - Defies New Federal Control Board,Dementia Rates Falling Among Older Americans,Tsunami Hits Japan After Earthquake,Elite Media? Stephen Colbert Admits Election Night Show 'Hardest Thing I've Ever Done',Report: NTSB Investigating Crash of Facebook Experimental Drone,Rate of Dementia in US Dropping,Murdered DNC Staffer's Parents Ask Public For Help,"Turkey Calls on US, Allies to Reconsider Syria No-fly Zone",De Blasio Would Sue to Prevent Trump Admin From Forcing Muslim Registry
11/18/2016,0,Judge Orders Border Patrol to Improve Detention Conditions,Consumer Watchdog Agency Asks Court to Reconsider Ruling,Heavy Security at Trump Tower Not Going Away Anytime Soon,"Lennon's Beatles Breakup Letter Sold at Auction for $30,000",Trump Settles University Fraud Case for $25M,"Obama Blocks New Oil, Gas Drilling in Arctic Ocean",UN's Ban Ki-Moon to Trump: 'Take Wise and Correct Decisions' on World Affairs,Loretta Lynch: Justice Dept. to Investigate Post-Election Hate Crime Spike,Huff Post: Obama Admin. Proposes New Oil Drilling Ban in Arctic Through 2022,Texas Lawmaker Files Legislation to End In-State Tuition for Illegals,Clemency Advocates Call on Obama for Action Before Trump Takes Office,FBI: Deputy US Marshal Fatally Shot in Southeast Georgia,Surge in Deportations Could Swamp Overtaxed System,"Politico: Dems Can't Filibuster Trump SCOTUS Nominee, Must 'Accept Reality'",Huckabee: 'Amateurs' Leaking Out Details of Trump Picks,Conservatives Purged by Twitter Flocking to Gab,Willie Robertson: I Like Trump Because He's a 'Business Guy',Judicial Watch: Secret Service Has Lost Thousands of Items Since 2001,Actor George Takei: Don't Allow Internment of Muslims,Report: Trump Nears Settlement in Trump University Lawsuit
11/17/2016,0,"Bill Clinton Attends 'Lion' Opening, Praised By Harvey Weinstein",US Releases Haitians Coming from Mexico In Latest Illegal Immigrant Surge,"Trump: Ford Not Moving Lincoln Model Production to Mexico, Keeping Plant in Ky.",Appeals Court Halts Release of 'Making a Murderer' Inmate,"Japan's Abe Says He Has Good Meeting with Trump, Confident of Building Trust",Google Taking Artificial Intelligence to Next Level by Teaching Computers to 'Dream',Investors Flood Stock ETFs with Most Cash Ever on Trump Win,"Obama Should Pardon 750,000 'Dreamer' Illegal Immigrants, Democrats Say",US House Votes to Stop Sales of Boeing Jetliners to Iran,Pluto's Frozen Heart May Hide Underground Ocean,Justice Alito Rallies Conservatives in Tribute to Scalia,Trump to Go on 'Thank You Tour' After Thanksgiving,"Lindsey Graham Backs Possible Trump Nominees, Slams Rand Paul Filibuster Threat",Easy Retirement? Only for a Privileged Few,Sanders to Newsmax: Trump Prosecution of Hillary Is 'Beyond Comprehension',Obama Tops Record for Regulation Page Count,Tim Ryan Running Against Pelosi for Minority Leader,"Krauthammer: Trump Can, Should Stop Funds to Sanctuary Cities","US Cancer Deaths Down, Drug Overdoses Up",Court Halts Release of 'Making a Murderer' Subject
11/16/2016,1,Report: Jordanian Air Base Shooting Might Be Act of Terrorism,NSA Chief: Nation-State Targeted Elections Via WikiLeaks,Megyn Kelly: Murdochs Said to Include Roger Ailes Saga in New Book,Former CIA Director Hayden: Trump Needs to Rein in North Korea,"Melvin Laird, Vietnam War Defense Secretary, Dies at 94",Fake News Trumps Real News in Facebook Traffic Report,Artist: Hannity Bought Anti-Obama Painting as Gift to Trump,NFL QB Kaepernick Has Never Registered to Vote,Amazon Fights Trolls Giving Megyn Kelly Book 1-Star Reviews,Wilbur Ross: Need to Change 'Culture of All of the Government Departments',NYC Electrician Says He Was Assaulted on Subway Because of His Trump Hat,Paul Ryan Halts GOP Vote to Bring Back Earmarks,Earliest Known Ten Commandments Tablet Up for Auction,Former Child Actor Corey Feldman Proposes to Canadian Girlfriend... Because He Feared Trump Would Deport Her,Facebook Admits to More 'Over-Reported' Web Metrics,"Hanks, Springsteen Among Obama's Last Medal of Freedom Recipients",Patriots Owner in Mystery Visit to Trump Tower,Sen. Tom Cotton: Hope Obama Doesn't Take 'Dramatic Action' on Gitmo,London Mayor Invites Anti-Trump US Workers to Relocate,Mayor Bill de Blasio: New York City Will Protect Its Immigrants
11/15/2016,1,Trump Escapes Press for Dinner With Family,"O'Reilly: Kelly Could Have Gone to HR, Quit, Used Labor Laws","Justice Sotomayor: We Need to Support Trump When He's Right, And Help Guide Him","Democratic Mayors of New York, Chicago, Other 'Sanctuary Cities' Vow to Fight Trump Deportation Plan",Obamacare Startup 'Oscar' Has $45 Million Loss in Three States,Manhattan's Trump Place Changing Name After Online Petition,LeBron James Slams Phil Jackson for Using Term 'Posse',Report: Breitbart News Planning Lawsuit Against 'Major Media Company',George W. Bush: 'Anger Shouldn't Drive Policy',"Ed Klein: Bill Clinton: It's Hillary's Fault, Not Comey's",CEO Warns: A Trump Tariff on Mexico-Made Fords Not Smart,"Bill O'Reilly: After Ailes Scandal, It's 'Open Season' on Fox News",Steve Forbes: Trump Will Dump Obama's 'Anti-Growth' Orders,Ex-INS Special Agent to Newsmax: Cut Federal Funds of Sanctuary Cities,Gov. Scott Walker: Possibilities 'Endless' With GOP in Power,McCain Warns Trump of Being Complicit in Putin-Assad 'Butchery',Sen. Bob Corker: Russia's Election Interference Intentionally 'Overt',GOP Nominates Ryan for 2nd Term as House Speaker,FBI Hires Twitter Data Firm to Track Criminal Activity After CIA Shut Out,Maria Bartiromo Slams Jonathan Gruber on Obamacare
11/14/2016,0,Google Moves to Restrict Ads on Fake News Sites,ISIS Using Drones Armed With Hand Grenades,Thomas Jefferson's Name Now Politically Incorrect at University He Founded,LAPD Chief: We Won't Assist Feds in Deporting Immigrants,AP Source: Giuliani the Favorite to be Secretary of State,Dementia Now England's Leading Cause of Death,N. Korea Begs China to Stop Calling Kim Jong-un Fat,"Ailing, Disillusioned Democrats Swamp Mental Healthcare Facilities After Trump Victory",Trump Tech Meltdown Hits Fourth Day as Amazon Cut by $35 Billion,SEC Chief Announces Resgination Amid Trump's Promise to Deregulate Wall Street,Ginsburg Acknowledges Trump Will Fill Supreme Court Vacancy,Fewer US Parents Say They Spank Their Kids,"Obama Challenges Trump: Make Obamacare Better, I'll Congratulate You",Catholic Bishops Ask Trump for Humane Immigration Policies,Over 412 Million Adult-Website Credentials Hacked,"Trump Talks to Putin, Discusses Global Threats","Megyn Kelly Reveals How Ailes Sexually Harassed Her, Why Trump Yelled at Her","Gwen Ifill, Longtime PBS Journalist, Dies at 61",Trump Advisers Recommend Mnuchin for Treasury Secretary,2016 Set to Be Hottest Year on Record
11/11/2016,1,Trump Calls Clintons 'Very Talented Family' in First Post-Election Interview,Lawyer: Cosby Expects to be Cleared and Resume His Career,Trump Win Raises Questions About US Pledge in Climate Deal,Twitter Executive Adam Bain Heading Out as Company Falters,Obama Administration Suspends Pacific Trade Deal Vote Effort,Former Trump Adviser Corey Lewandowski Steps Down From CNN,Immigrants Who Gave Obama Admin. Info Could Face Deportation by Trump,Fort Trump: New Security Measures Ring Trump Tower,Facebook Glitch Turns User Profiles Into Memorial Pages,Decision on Dakota Access Pipeline Due in Next Few Days,WSJ: Trump Says He's Considering Keeping Parts of Obamacare,Trump Dumps Christie as Head of Transition Team,"Robert Vaughn, 'The Man From U.N.C.L.E.' Star, Dies at 83",US Airlines Face Brief Computer Outage,Megyn Kelly: Did My Driver Poison My Coffee?,Warren Buffett: Stocks Will Continue to Prosper Under Trump,Corey Lewandowski and Carly Fiorina Eyed to Head RNC,Edward Snowden Not Concerned About Russia Turning Him Over to US,Spokeswoman: Trump Will Have 'Traditional' Press Pool,Pence Calls British Foreign Sec. to Discuss US-UK Relationship
11/10/2016,0,Facebook's Zuckerberg: 'Crazy' to Blame Election on Fake News,Obamacare Architect Zeke Emanuel: GOP Can 'Wreck' Law,Singer-Songwriter Leonard Cohen Dies at 82,Record Numbers of Illegals Being Detained Across US,Teen Dedicates Life to Finding World War II Combat Veterans,Trump Craves Reagan-Thatcher 'Special Relationship' With May,Russian Hackers Accused of Post-Election Attacks on US Think Tanks,"Kasich Calls for Unity, Prayers for Trump's Success Outside WH","Grand Jury Indicts Aaron Schock on Wire Fraud, Theft Counts","PepsiCo CEO: People Crying, Asking if They're Safe Under Trump",'60 Minutes' Lands First Interview With President-Elect Trump,"Obama's Advice to Trump: When Press Yells at You, 'Don't Answer Any Questions'",Ex Official Says Israel Should Expand to Contested Neighborhoods,Mexican Formula One Driver Drops Sponsor After Pro-Trump Tweet,Iranian General: Trump's Threat to Sink Iran's Ships 'Just a Joke',More Than 100 Troops Inform Military They're Seeking Transgender Care,"Iran, Obama Admin. Disagree on Future of Nuclear Deal Under Trump","Steve Forbes: 7 Ways to Replace Obamacare With Better, Affordable Insurance",Trump: America's First Citizen President,#Calexit: Trump's Victory Renews Push for California to Leave US
11/9/2016,1,Anti-Trump Protesters Take Over Streets in Major Cities,"Researchers: It's Too Late, Killer Robots Are On the Way",Spy Agencies to Begin Top Secret Trump Briefings Within Days,Politico: Panic Has Taken Hold of White House Over Trump,Tom Cotton: Waterboarding Necessary 'to Save American Lives',Justice Ginsburg Wears 'Dissent Collar' After Election,Healthcare Experts: Full Repeal of Obamacare Not Likely,Stocks Surge to Unexpected Near-Records Following Trump Victory,Trump Invites Israeli PM Netanyahu to US Meeting,Ronald Kessler: No Prosecutions for Hillary,Soda Taxes Spread After Votes in Four US Cities,IAEA Report: Iran Once again Exceeds a Nuclear Deal Limit,Poll: Majority of Americans Can't Spend More Than $100 on Healthcare,Cuba Military Exercises Announced Following Trump Election,McConnell Says Obamacare Repeal High on Agenda,Gizzi: Trump's Cabinet - What It Could Look Like,"Dick Morris 'Armageddon' Now a Political Classic, Predicted Trump Win",Pro-Life Group: Planned Parenthood 'Defeated at the Ballot Box',Election Night Network Ratings Slip From 2012,Iran President: Trump Cannot Dismantle Nuclear Deal
11/8/2016,1,"Report: One Killed, Three Injured in Shooting Near Calif. Polling Station","'Game of Thrones' Season 7 Plot Leaked Online, But Is It Real?","US Watchdog Told Medicare, Medicaid That EpiPen Was Misclassified in 2009",NASA Worried SpaceX's Fueling Policy Could Cause Future Rockets to Explode,Samsung Publishes Open Letter of Apology to Galaxy Note 7 Customers,Julian Assange: Americans 'Better Informed' Because of WikiLeaks,Brexit Appeal Court Date Set for Dec. 5,"Authorities ID Possible Organizer of Paris, Brussels Attacks",OPEC Slashes Oil Price Predictions to $60 a Barrel by 2020,Scientists Develop Game-Changing Blood Test for Concussions,Vitamin D Deficiency Linked to Bladder Cancer,Newsweek Printed 'Hillary Wins' Cover First,Prince Harry Condemns Media 'Abuse' of American Girlfriend,Cop Sues Black Lives Matter for Violence-Related Injury,Planned Early Births Tied to Developmental Problems,New York Real Estate Heir Durst Pleads Not Guilty to 'Jinx' Murder,Disputed Caravaggio Discovered in France on Display in Milan,New Test Detects Early Alzheimer's,WikiLeaks: Email Suggests CNN Gave Clinton Camp Interview Questions in Advance,"New York Area Has the Nation's 3 Worst Airports, Study Says"
11/7/2016,1,Iconic Gun Maker Smith & Wesson Wants to Change Its Name,Daily Caller: US-Based Russian Media Part of Moscow's Information Arm,UVA Administrator Awarded $3M in Rolling Stone Case,Firefighter Runs NYC Marathon For Stillborn Babies,Report: De Blasio's Administration Has Spent Millions on Legal Fees to Defend Pay-for-Play Allegations,Glenn Beck: 'Obama Made Me a Better Man',Mysterious Noise Emanating From Arctic Sea Floor,"SC Mass Murder Suspect Left Odd, Frightening Amazon Product Reviews",Obama: Fake News on Facebook Pages Creating 'Dust Cloud of Nonsense',Clinton Campaign Spiked 2015 Op-ed Idea That Went 'Full Sanders',Merriam-Webster Defines End of World: Election Day,Banks Gird for Brexit-Style Tumult Following Tuesday Election,"Delhi Pollution Currently Worst in World, Closes Schools for 3 Days",'I Voted From Space': Lone American Off Planet Casts Ballot,Schumer Sees Path to Senate Tax Deal With Clinton in White House,Daniel Ortega Re-elected in Nicaragua With Wife as VP,Anonymous Says It Shut Down Twitter,Treatment May Offer Protection From Zika During Pregnancy,NJ Star-Ledger: Christie Must Testify on Bridge-gate,De Niro: Vote Clinton to 'Prevent Tuesday From Turning Into a Tragedy'
11/4/2016,0,Florida Elections Worker: I Was Fired For Witnessing Possible Absentee Ballot Fraud,November's Supermoon Will Be Biggest in Nearly 70 Years,Report: US Military Hackers Ready to Hit Russia for Any Cyberattack,Giuliani: 'I Have Spoken to No Current FBI Agents',House Dems Call For Justice Dept. Probe of FBI,Pentagon: 3 US Military Members Killed at Jordanian Base,Politico: Clinton Forwarded Classified Email to Chelsea,Christie Promises to Set Bridge Testimony Record Straight,Speaker Paul Ryan: 100 Percent Certain to Seek Staying in Role,"S&P 500 Falls 9th Straight Day, Longest Losing Streak Since 1980",Rudy Giuliani: 'Former FBI Agents' Told Me of New Emails Before Announcement,"2 New York Police Sergeants Shot, 1 Killed; Suspect Dead",Fox News' Baier: 'Mistake' to Report Indictment 'Likely' in Clinton Case,"Rolling Stone, Reporter, Owner Found Liable in Defamation Suit over Rape Story - Media",Leaked Email From Clinton Aide: 'Get Huma the Hell Out of There',Entrepreneur Thomas Peterffy: 'American Dream' Imperiled by Move Toward Socialism,Avoiding Chemical in Plastics Causes Weight Loss,Billy Graham Turning 98 - but Birthday to be Quiet Affair,Vanity Fair: FBI Will Be GOP Tool to Probe 'President Clinton',Chris Christie Aides Guilty in Bridge-gate Scandal
11/3/2016,0,Facebook Sued Over Inflated Video-Viewing Data,WikiLeaks: FBI Denied Obama Aide Security Clearance in 2008,National Debt to Top $20 Trillion Next Year,Pennsylvania State Police Widen Fraud Probe of Democratic Voter Registration Effort,CBS: FBI Confirms New State Dept. Emails on Huma-Weiner Computer,FBI Examining Fake Documents Targeting Clinton Campaign -sources,Heritage Action Urges Senate GOP to Keep SCOTUS at 8 Justices If Hillary Wins,"Emails: Clinton, Aide Weighed Sending Secure Phone by FedEx",White House Study: China Trade Deal Worsens Damage from TPP Failure,"Stocks Fall for 8th Day, Longest Decline Since 2008 Crisis",NFL Marijuana Poll: Players Say Legalization Would Cut Painkiller Use,Study: Smoking a Pack a Day Causes 150 Mutations in Every Lung Cell,Feds Fine Penn State a Record $2.4M in Sandusky Case,Leading Governor Candidate in Puerto Rico Wants US Statehood,Arctic Sea Ice Retreat Pinned to Individuals' Emissions-Study,Megyn on Ailes: 'He Tried to Grab Me',GAO Report Exposes VHA's Failure to Implement Recommendations,"Tom Cotton: Americans Should Get Tax Credits, Not Penalties on Obamacare",Brain Inflammation in Football Players Linked to Dementia,Defense Seeks Mistrial in Bridge-gate Case
11/2/2016,0,Cubs Win! First World Series Championship Since 1908,"US Sues AT&T, DirecTV for Illegal Information Trading During Dodgers Talks","Bill Cosby Is Too Blind to Defend Himself, Lawyers Say",Philippine President Duterte Will Turn to Russia for Guns After US Halts Sales,ACLJ Sues Justice Dept. Over Bill Clinton-Loretta Lynch Meeting on Airport Tarmac,Clinton Foundation Case 'Very High Priority' For FBI,Obama Says Army Corps Examining Dakota Oil Pipeline Route,Obama Says Army Corps Examining Dakota Oil Pipeline Route,"Black Church Burned in Mississippi, Vandalized With 'Vote Trump' Message","Ben Stein to Newsmax: If Nixon Had Destroyed Emails, 'They Would've Hanged Him'",Fed Sets Up Possible December Move While Leaving Rates on Hold,Gawker's Shell Settles With Hulk Hogan for $31 Million,Obama Hits FBI's Comey: 'We Don't Operate on Innuendo',Netanyahu in 2015: White House Trying to Undermine My Election,Anthem Threatens Obamacare Retreat If Results Don't Improve,Reports Warn of Explosion in Cancer Deaths Among Women,New York Times Reports 95.7% Fall in Quarterly Profit,News Networks Expect Big Numbers as Election Day Nears,Putin Pushing to Block Microsoft Products in Russia,2016 World Series Stretches to a Final Game 7 in Cleveland
11/1/2016,0,Report: 'No One At Controls' of Malaysian Flight When It Went Down,WikiLeaks: Podesta Was Warned Turkey's Erdogan Trying to Buy Favor With Hillary Clinton,Support for Legalizing Marijuana at an All-Time High,Iraqi Forces Closing in on ISIS Leader,IJR: 14 Cases of Voter Fraud Under Investigation as Election Day Approaches,"Dwyane Wade Fined $25,000 for Throat Slashing Gesture",Bono First Man to Make Glamour's Women of the Year List,FBI Releases Documents on Marc Rich - Fugitive Financier Pardoned by Bill Clinton,CNN: Subsidies Offset Obamacare Premium Hikes For Many,"If Clinton Wins, More in GOP Say No to 9 on Supreme Court",Dem's Attempt to Clone Dead Son Not an Issue in WVa Race,Thomson Reuters to Cut 2000 Jobs Worldwide in Streamlining Move,"CNN Chief Jeff Zucker Rips Donna Brazile as 'Disgusting, Unethical'",Pope: Ban on Female Priests Is Forever,Half of Obamacare Enrollees Avoiding Doctors to Save Money,Amelia Earhart Castaway Theory Bolstered by New Evidence,Eggs Reduce Stroke Risk,Stressed-Out Mate Bad for Waistline,Asteroid Intruder Alert System Caught Sunday Night's Flyby,Stephen Moore: Obamacare Implosion Exposes Web of Lies and Deceit
10/31/2016,0, Defense Dubs Christie a Coward in Closings as Jury Gets Case, Sen. Burr Apologizes for Gun Joke to Put 'Bull's-Eye' on Clinton, Hackers Say They're Revealing More from Trove of NSA Data," Seven People Badly Burned, 17 Acres on Fire in Alabama Gas Line Explosion", John Podesta Took Part in UFO Documentary, Daily Fantasy Sports Firms Said to Unite Under DraftKings CEO," Wealthiest Man in Florida Urges Republican Vote, Save the Courts!"," Sen. Jeff Sessions: Over 800,000 Illegal Border Crossings Last Year", Car in Biden Motorcade Hits 3 Vehicles; Vice President Safe, 'Completely Uncomfortable' CNN Parts Ways With Donna Brazile, Supreme Court Won't Hear Man's Challenge to FBI Fitness Test, Can You Be Literally Scared to Death?," Facebook to Remove Fewer Pictures, Stories After Flap Over Vietnam Photo"," AT&T, Time Warner CEOs Make Case for Merger: Prices Will Go Down", Study Finds Racial Discrimination by Uber and Lyft Drivers, Consumer Spending Rebounds as Inflation Marches Higher, Jesus' Tomb Opened in Jerusalem for First Time in Centuries, Reformer Pope Arrives in Sweden to Mark Luther's Reformation," Massive, Weeklong Oklahoma Manhunt Ends with Suspect Dead", Putin Rejects Russian Military Request to Resume Aleppo Bombings
10/28/2016,1, Sheriff Joe Arpaio Pleads Not Guilty to Criminal Charge, Dr. Ronnie Floyd: It's A Simple Decision: One Candidate Supports Partial-Birth Abortion," FedEx Plane Catches Fire at Airport in Fort Lauderdale, Florida"," Air Force: Russian, US Planes Almost Crashed", Zionist Organization Boss Worries Obama Will 'Betray Israel' at UN, 8 Injured After Plane Catches Fire at Chicago Airport, Supreme Court to Rule in Virginia Transgender Case," NYT: New Clinton Emails Came From Weiner, Abedin", Free Beacon: Loretta Lynch 'Pleads Fifth' on Iran Ransom Probe, FBI Reopens Clinton Email Investigation, New York Times Editor Blasts Cable Networks, Jury Awards More than $70M to Woman in Baby Powder Lawsuit, Policy Adviser Predicted Obamacare Wouldn't Be Affordable," Christ Burial Slab Uncovered in Jerusalem, Researchers Say", Obamacare Sticker Shock: 5 Ways to Combat Insurance Hikes, Newt Gingrich: Americans in the 'Age of the Kardashians' Accept Corruption," Trump Ran 'Most Chaotic, Poor' Campaign in Modern History", Americans Fed Up With Soaring Drug Prices, Callista Gingrich: Founders Would Have Slammed Political Correctness, Chuck Todd: Megyn-Newt Moment When 'Ailes' Fox News' Died
10/27/2016,1, Mark Levin to Fox's Kelly: 'Don't Pretend You're a Journalist', Plane Carrying VP Nominee Mike Pence Skids Off NY Airport Runway, Hannity Won't Be Leaving Fox News for Trump Administration, Number of US Foster Kids Rises; Parents' Drug Abuse a Factor," Ammon Bundy, Oregon Militants Acquitted of Conspiracy in Wildlife Refuge Seizure", FCC Approves New Broadband Service Privacy Rules, Putin: Trump 'Has Chosen a Method to Get Through to Voters' Hearts', Richard Perle: Hillary's Syrian No-Fly Zone Could Escalate US-Russian Tensions, Curt Schilling: 'Conservative Families Are Fair Game' to Liberal Media, Obama Cuts Short Sentences for Another 98 Federal Inmates, Reince Priebus: Hacked Email 'Smoking Gun' on Clinton Foundation, Mel Gibson on 2006 Anti-Semitic Remarks: 'I've Never Discriminated Against Anyone', Gannett-Tronc Deal in Doubt as Banks Said to Withdraw Funding, Justin Timberlake: 'I Had No Idea' Voting Selfie Was Illegal, Sen. Rand Paul: Obamacare Outlawed Inexpensive Insurance Policies, US Zika May Be Here to Stay: CDC, California Cities Seek Record Tax Hikes as Pension Costs Mount, Scarborough: 'Bill Clinton Inc.' Donation Scheme 'Sleazy', Suspect Arrested in Destruction of Trump's Hollywood Star, Judge Approves $265M Settlement in 2015 Amtrak Derailment
